"","beta_1","beta_2","beta_3","beta_4","DNN_bias_1","DNN_bias_2","DNN_bias_3","DNN_bias_4","wlse_bias_1","wlse_bias_2","wlse_bias_3","wlse_bias_4","lse_bias_1","lse_bias_2","lse_bias_3","lse_bias_4","lasso_bias_1","lasso_bias_2","lasso_bias_3","lasso_bias_4","ridge_bias_1","ridge_bias_2","ridge_bias_3","ridge_bias_4","qr_bias_1","qr_bias_2","qr_bias_3","qr_bias_4","MSE_DNN_1","MSE_DNN_2","MSE_DNN_3","MSE_DNN_4","MSE_wlse_1","MSE_wlse_2","MSE_wlse_3","MSE_wlse_4","MSE_lse_1","MSE_lse_2","MSE_lse_3","MSE_lse_4","MSE_lasso_1","MSE_lasso_2","MSE_lasso_3","MSE_lasso_4","MSE_ridge_1","MSE_ridge_2","MSE_ridge_3","MSE_ridge_4","MSE_qr_1","MSE_qr_2","MSE_qr_3","MSE_qr_4","MSE_DNN_total","MSE_wlse_total","MSE_lse_total","MSE_lasso_total","MSE_ridge_total","MSE_qr_total"
"1",0.2,0.2,0.2,-0.2,-0.000768346290971306,-0.000325142376547932,-0.000823052062254498,0.000138983591854824,-0.006327286761806,-0.00567601313253324,-0.00656903718461421,0.00553539251289809,5.9784840717364e-05,-4.68162100130953e-05,0.000120487337372965,0.000135829792101194,-0.00756481354992181,-0.0983385206316893,-0.0941712621333165,0.0897031728024964,-0.000404680159565685,-0.00666471761862816,-0.00583472145793354,0.00628106883947788,1.81761226098753e-05,7.05768360625969e-06,1.95611184700961e-05,-5.25938699880157e-06,0.00104613922179504,0.000987077325100356,0.00103530801452893,0.00107697704890741,0.00159310211533068,0.00132704235093801,0.00172336087406321,0.00161190603331734,0.0020417526414813,0.00148732451212644,0.00181330448576058,0.00154123896475705,0.00210095440330241,0.0115331901375911,0.011024566667801,0.00993391444802968,0.00204389829888095,0.00163449307003459,0.00189353399560871,0.00166773492804893,0.00114094328967881,0.00103269586742065,0.00117380286272824,0.00112040142987596,0.00410383257595325,0.00625541137364924,0.00688362060412537,0.0345926256567242,0.00723966029257318,0.00446784344970366
"2",0.2,0.2,-0.2,-0.2,-0.00110394612919515,-0.000414634924035484,-6.25991571752693e-05,2.09373941918445e-05,-0.0051500498165715,-0.00515714353084731,0.00472026743219392,0.00516676313682288,8.84150126447825e-05,1.56838281480665e-05,-4.93292612405161e-06,-1.92775415271129e-05,0.015114684233954,-0.105362162523849,0.108662774771086,0.111471793460652,0.00106541091505397,-0.00722311897417996,0.00691649820962817,0.00767719863815064,3.45925121166268e-05,4.28201306544029e-05,-7.06864739211388e-05,-5.48700844872907e-05,0.00117193119544281,0.00111226951463078,0.00114759010042342,0.00113999165542993,0.00187493835715466,0.0016040123560176,0.00159273151274354,0.00160006419304851,0.00188239485330905,0.0019203739487104,0.00188538160970904,0.00189223968240042,0.00211806863434335,0.0136814682328229,0.014353013616898,0.0149263564731099,0.00186389393560527,0.00218431540927126,0.00213502541936668,0.00220022705910423,0.00133284127406604,0.00118499945493232,0.00119333432200651,0.00118091249616272,0.00457938091092042,0.00667174641896432,0.00758039009412892,0.0450789069571742,0.00838346182334744,0.00489208754716759
"3",0.2,-0.2,-0.2,-0.2,-0.00216264651848808,1.82394137994146e-05,1.37178999716769e-05,2.77676668603011e-08,-0.00600698382730927,0.00438439223893705,0.00566828489121121,0.00573149576323573,-1.70604426824317e-05,8.63518296661814e-05,-6.18380791710949e-05,-0.000132613295306616,0.0212243984183188,0.0961869863928497,0.11438314700943,0.0943250634108974,0.00150253928547936,0.00723659117731815,0.00781665403324983,0.00700092441996267,4.8582761229099e-05,-8.30051234375073e-05,-8.80114736473148e-05,-9.99269070463549e-05,0.00117936117033409,0.00129453599810481,0.00133503294357323,0.00122657183772899,0.00203792665797405,0.00196075785437392,0.00199542799885,0.00182769743736901,0.00206614438640134,0.00174401867357524,0.00226033529848656,0.00157246106954913,0.0025375166316521,0.0115300067211019,0.0157048523990489,0.0110333257074581,0.00206012068713527,0.00187427445275673,0.00246044488225499,0.00171582152156424,0.00138681010509848,0.00132846328971659,0.00139086618143723,0.00127050183672213,0.00514396305558536,0.00782180994856697,0.00764295942801227,0.040805701459261,0.00811066154371123,0.00537664141297443
"4",0.6,0.6,0.6,-0.6,-0.00319515737895504,-0.00235878248478516,-0.00352949584235163,0.000627091935325508,-0.019029733110037,-0.0173192204014696,-0.0200510604629042,0.0172972654318011,0.000274213013053637,-1.78951923841542e-05,0.000349570032286306,-0.000190847185364995,-0.0225890214066976,-0.294720182823266,-0.282380541560114,0.268343239712964,-0.00108887938179614,-0.0195030213638938,-0.0171567127322124,0.017926537999153,0.000179281163675826,2.89969776133825e-05,0.000164824298348965,2.39092858056456e-06,0.00931821901789203,0.00837937515413764,0.00914707633573867,0.00978400196145739,0.015895904415809,0.0132514998181275,0.0179912384164415,0.0164688254228436,0.0184713481746504,0.0133778775211967,0.0163115233461518,0.0138882382567338,0.019000956661369,0.103634747344707,0.0991097661320493,0.089082591805959,0.0184903447015788,0.0146697184669537,0.0170425768969017,0.0149747256299438,0.0102608994017392,0.00928434661914049,0.0105457846192264,0.010137919420576,0.035991746843507,0.0636074680732217,0.0620489872987327,0.310828061944085,0.065177365695378,0.0402289500606821
"5",0.6,0.6,-0.6,-0.6,-0.00408223569423771,-0.00217233033525888,-0.000131560329774905,0.000354635630815836,-0.0160743445862861,-0.0158473710019834,0.0148316270882737,0.0159255878718264,0.000811866253539351,0.000830868291835873,-0.000987324101550557,-0.000362792938313983,0.045948602892099,-0.315666610401308,0.325395085869993,0.334584843429901,0.00373781402834428,-0.0208709286619145,0.0197538418675075,0.0226776918473327,0.000411059231984146,0.000520543936437523,-0.00053833017307725,-0.000290186811280235,0.0104444245402681,0.00956408727408108,0.0105330507323848,0.0103009505645493,0.0195570220637234,0.0173888381150981,0.017129379143174,0.0165429159273698,0.0169813503012414,0.0174595911227539,0.0172482409782289,0.0171724295387214,0.0191335996540984,0.123151146365637,0.129030331852797,0.134576394584491,0.0168162417080715,0.0198865444538479,0.0195132734877172,0.0200265810590861,0.0120495487522263,0.0107796474985138,0.0108331740655823,0.0106908913256924,0.0410746132791188,0.0706181552493653,0.0688616119409457,0.405891472457024,0.0762426407087228,0.0443532616420149
"6",0.6,-0.6,-0.6,-0.6,-0.00592098328637103,-6.78620483030024e-07,0.000465648290473353,0.000454488215550275,-0.0179501246440333,0.0129246289153778,0.0167483554373504,0.0177329359390243,-0.000205757194339573,-0.000570694539010375,0.000233825661381526,0.000386221519295349,0.0635066892917951,0.287858407400535,0.343384446667744,0.283813290959808,0.00433105259665145,0.0208343638084659,0.0237329540367089,0.0216908294114578,0.000168733380705888,-0.000252398305430002,-2.89695223465447e-05,4.95828310476121e-05,0.0106735345401971,0.0116822973063992,0.0119787942261764,0.0111607108119191,0.0204982324921079,0.0193068092973506,0.0198307772423337,0.0173208206496236,0.0185909598354236,0.0158292178400736,0.0205410695469143,0.014121740849187,0.022798345892092,0.103453765413257,0.141542123911383,0.099713340484081,0.0185317429043899,0.0170456481873926,0.0224422572266475,0.0154949500406125,0.0124786776683736,0.011944834259588,0.0123975963488593,0.0114322167929501,0.046313420298949,0.0769566396814158,0.0690829880715986,0.367507575700813,0.0735145983590425,0.048253325069771
"7",1.2,1.2,1.2,-1.2,-0.0064076431685447,-0.00675397357409535,-0.0113058046104271,0.00190415247580988,-0.0387297065632817,-0.0334860524090115,-0.038757801588553,0.0335706976618184,-0.00021742643930156,0.000961276928838961,0.000309735434683711,-0.000689681114186547,-0.0459249143685578,-0.588290290841997,-0.564835617873232,0.536068611024121,-0.00296936312224316,-0.0384874951063172,-0.0350427957249813,0.0359611867128251,-0.000668760492944065,-9.41919282926307e-06,-0.000429417635998686,0.000449963515021023,0.0365481696778652,0.0321615605563641,0.0350953721627485,0.0386779939053755,0.0644810320721752,0.0523193223203968,0.0717482422452782,0.0659035497733466,0.0736400483776134,0.0533277029633256,0.0652689399246922,0.0554805450681948,0.0758144381863963,0.412882536863257,0.39629623988362,0.355232187331792,0.0737088567619081,0.0580727612900824,0.0679346608801253,0.0594739639167184,0.0405814905838929,0.0369909006163604,0.0418231438376202,0.0402972903799661,0.138900474559726,0.254452146411197,0.247717236333826,1.24022540226506,0.259190242848834,0.15969282541784
"8",1.2,1.2,-1.2,-1.2,-0.00995052548565312,-0.00791607249691184,0.00151738354652053,0.00222423232679803,-0.0322020657017292,-0.0314377396143262,0.0309191077000865,0.0315271436020395,-0.00101721313790049,-0.000286686716041595,6.32454304261287e-05,0.0010216684071982,0.0892784776368769,-0.633081328742119,0.65297551050355,0.670916269605992,0.00481705432796664,-0.0434961059598691,0.0414092544319267,0.0469495486856257,-0.000619153454163079,-0.000939462579191419,0.00075200419953525,0.000905193009737459,0.0410814669897548,0.0372593351191681,0.0421508295307551,0.0409011575966247,0.0845091598451266,0.0740793674323806,0.0741595973345368,0.0709349834156385,0.067517815547162,0.0699067096895063,0.0683836407716554,0.0682997785201484,0.0756732516610181,0.494678711217751,0.518705517111214,0.540295251529354,0.0668272549675207,0.0797103246138453,0.0775895637189265,0.0797535983383876,0.0479969660830962,0.0431369358734727,0.0433734703934511,0.0427055098885125,0.162642461170433,0.303683108027683,0.274107944528472,1.62935273151934,0.30388074163868,0.177212882238532
"9",1.2,-1.2,-1.2,-1.2,-0.0128870710475684,0.000676040534657751,0.00066300745656589,0.00157217061399395,-0.0356469145114229,0.0275904933702154,0.0333170888946901,0.0348281936885755,-0.00078549990798793,0.000400261139026581,-0.000904492158973147,0.000597441270163257,0.126689054761281,0.577253113822227,0.685714086534968,0.56770974600613,0.00817422292809855,0.0425751971953661,0.0455560230972096,0.0426352736239337,-0.000504370026697565,0.00013628389628817,-0.000429986225242152,0.000751790051204626,0.0426306601388818,0.0465716265508437,0.0480747877724194,0.0445600136223639,0.0800725394693203,0.0785329146358462,0.078864333004072,0.0699931679111538,0.0745788275652189,0.062965168086679,0.0822485215625745,0.0561386675666039,0.0913871930509256,0.415616680585879,0.565479063470705,0.398809659741557,0.0743424885768514,0.0676174240424153,0.0892110327094691,0.0613579071667129,0.0499949507478025,0.0475825254777899,0.049804091442924,0.0456517723131128,0.185351862234564,0.307462955020392,0.275931184781076,1.47129259684907,0.292528852495449,0.193033339981629
